Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
Pep_609,0.574,0,0,0.574,Non-Toxin
Pep_61,0.586,0,0,0.586,Non-Toxin
Pep_610,0.558,0,0,0.558,Non-Toxin
Pep_611,0.635,0,0,0.635,Toxin
Pep_612,0.718,0,0,0.718,Toxin
Pep_613,0.66,0,0,0.66,Toxin
Pep_614,0.683,0,0,0.683,Toxin
Pep_615,0.498,0,0,0.498,Non-Toxin
Pep_616,0.527,0,0,0.527,Non-Toxin
Pep_617,0.605,0,0,0.605,Toxin
Pep_618,0.618,0,0,0.618,Toxin
Pep_619,0.595,0,0,0.595,Non-Toxin
Pep_62,0.757,0,0,0.757,Toxin
Pep_620,0.579,0,0,0.579,Non-Toxin
Pep_621,0.623,0,0,0.623,Toxin
Pep_622,0.677,0,0,0.677,Toxin
Pep_623,0.675,0,0,0.675,Toxin
Pep_624,0.625,0,0,0.625,Toxin
Pep_625,0.629,0,0,0.629,Toxin
Pep_626,0.656,0,0,0.656,Toxin
Pep_627,0.664,0,0,0.664,Toxin
Pep_628,0.738,0,0,0.738,Toxin
Pep_629,0.717,0,0,0.717,Toxin
Pep_63,0.785,0,0,0.785,Toxin
Pep_630,0.795,0,0,0.795,Toxin
Pep_631,0.805,0,0,0.805,Toxin
Pep_632,0.778,0,0,0.778,Toxin
Pep_633,0.776,0,0,0.776,Toxin
Pep_634,0.758,0,0,0.758,Toxin
Pep_635,0.533,0,0,0.533,Non-Toxin
Pep_636,0.406,0,0,0.406,Non-Toxin
Pep_637,0.39,0,0,0.39,Non-Toxin
Pep_638,0.71,0,0,0.71,Toxin
Pep_639,0.772,0,0,0.772,Toxin
Pep_64,0.516,0,0,0.516,Non-Toxin
Pep_640,0.764,0,0,0.764,Toxin
Pep_641,0.804,0,0,0.804,Toxin
Pep_642,0.639,0,0,0.639,Toxin
Pep_643,0.634,0,0,0.634,Toxin
Pep_644,0.54,0,0,0.54,Non-Toxin
Pep_645,0.558,0,0,0.558,Non-Toxin
Pep_646,0.717,0,0,0.717,Toxin
Pep_647,0.712,0,0,0.712,Toxin
Pep_648,0.64,0,0,0.64,Toxin
Pep_649,0.609,0,0,0.609,Toxin
Pep_65,0.517,0,0,0.517,Non-Toxin
Pep_650,0.621,0,0,0.621,Toxin
Pep_651,0.925,0,0,0.925,Toxin
Pep_652,0.607,0,0,0.607,Toxin
Pep_653,0.602,0,0,0.602,Toxin
Pep_654,0.587,0,0,0.587,Non-Toxin
Pep_655,0.899,0,0,0.899,Toxin
Pep_656,0.662,0,0,0.662,Toxin
Pep_657,0.674,0,0,0.674,Toxin
Pep_658,0.692,0,0,0.692,Toxin
Pep_659,0.63,0,0,0.63,Toxin
Pep_66,0.759,0,0,0.759,Toxin
Pep_660,0.637,0,0,0.637,Toxin
Pep_661,0.607,0,0,0.607,Toxin
Pep_662,0.607,0,0,0.607,Toxin
Pep_663,0.683,0,0,0.683,Toxin
Pep_664,0.48,0,0,0.48,Non-Toxin
